course_id,certificate_type,description,duration,created_at,updated_at
400,Certificate in Basic Computing,"MS-Windows,MS-Office (Wordpad ,Ms-Word, Ms-Excel, Powerpoint ,Internet).",4,23/12/2024 13:10,23/12/2024 13:10
401,Certificate in Graphic Designing,"Graphics in Corel Draw, Photoshop,Illustrator & Indesign.",4,23/12/2024 13:10,23/12/2024 13:10
402,Diploma in Computer Appliation,"MS-Office(Wordpad ,Ms-Word, Ms-Excel, Powerpoint ,Internet) & Graphic in Corel Draw, Photoshop,Illustrator & Indesign",8,23/12/2024 13:10,23/12/2024 13:10
403,Hons. Diploma in Computer Application iwith digital Marketing,"MS-Office,Tally Prime(Accounts, Inventory, Taxation with GST, TDS, TCS & Payroll),Graphics in Corel Draw, Photoshop,HMTL.",12,23/12/2024 13:10,23/12/2024 13:10
404,Dipl. In Applied Web Development,"MS-Office,Graphics in Corel Draw, Photoshop,Illustrator & Indesign, HTML, CSS, Bootstrap, Javascript, Jquery, Azax, PHP, MySqli.",12,23/12/2024 13:10,23/12/2024 13:10
405,Certificate in Financial Accountancy,"Tally Prime (Accounts, Invetory, Taxation with GST and Payroll).",3,23/12/2024 13:10,23/12/2024 13:10
430,Certificate in English Typing,Computerized English Typing with speed 35 words per minute.,3,23/12/2024 13:10,23/12/2024 13:10
400,Certificate in Basic Computing,"MS-Windows,MS-Office (Wordpad ,Ms-Word, Ms-Excel, Powerpoint ,Internet).",4,23/12/2024 13:42,23/12/2024 13:42
401,Certificate in Graphic Designing,"Graphics in Corel Draw, Photoshop,Illustrator & Indesign.",4,23/12/2024 13:42,23/12/2024 13:42
402,Diploma in Computer Appliation,"MS-Office(Wordpad ,Ms-Word, Ms-Excel, Powerpoint ,Internet) & Graphic in Corel Draw, Photoshop,Illustrator & Indesign",8,23/12/2024 13:42,23/12/2024 13:42
403,Hons. Diploma in Computer Application iwith digital Marketing,"MS-Office,Tally Prime(Accounts, Inventory, Taxation with GST, TDS, TCS & Payroll),Graphics in Corel Draw, Photoshop,HMTL.",12,23/12/2024 13:42,23/12/2024 13:42
404,Dipl. In Applied Web Development,"MS-Office,Graphics in Corel Draw, Photoshop,Illustrator & Indesign, HTML, CSS, Bootstrap, Javascript, Jquery, Azax, PHP, MySqli.",12,23/12/2024 13:42,23/12/2024 13:42
405,Certificate in Financial Accountancy,"Tally Prime (Accounts, Invetory, Taxation with GST and Payroll).",3,23/12/2024 13:42,23/12/2024 13:42
430,Certificate in English Typing,Computerized English Typing with speed 35 words per minute.,3,23/12/2024 13:42,23/12/2024 13:42
454,Diploma in Computer Science,"MS-Office, Tally Prime (Accounts, Inventory, Taxation with GST, TDS, TCS & Payroll).",8,23/12/2024 13:42,23/12/2024 13:42
408,Hons. Diploma in Computer Application,"MS-Office,Tally Prime(Accounts, Inventory, Taxation with GST, TDS, TCS & Payroll),Graphics in Corel Draw, Photoshop,Adv. Excel",12,23/12/2024 13:42,23/12/2024 13:42
409,Certificate in Programming Language,"C Language, C++ Language, Data Structure and algorithm, html and Javascript.",4,23/12/2024 13:42,23/12/2024 13:42
407,Hons. Diploma in Computer Application,"MS-Office,Graphics in Corel Draw, Photoshop,Illustrator & Indesign, HTML, CSS, Bootstrap, Javascript, Jquery, Ajax, PHP, MySqli,Digital Mkt.",16,23/12/2024 13:42,23/12/2024 13:42
411,Certificate in Programming Language(Python),Python Language with MySql,3,23/12/2024 13:42,23/12/2024 13:42
412,Certificate in Financial Accountancy with Busy Software,"Busy Software (Accounts, Invetory, Taxation with GST and Payroll).",4,23/12/2024 13:42,23/12/2024 13:42
413,Hons. Diploma in Computer Application,"MS-Office, Tally Prime, Busy & Marg (Accounts, Inventory, Taxation with GST, TDS, TCS and Payroll.",12,23/12/2024 13:42,23/12/2024 13:42
414,Certificate in Programming Language(PHP),Programming Language with PHP and MYSQLI,3,23/12/2024 13:42,23/12/2024 13:42
415,Unknown,NULL,3,23/12/2024 13:42,23/12/2024 13:42
404,Unknown,NULL,12,23/12/2024 13:42,23/12/2024 13:42
417,Certificate in Advance Excel,"MS-Excel, MIS & Visual Basic for Application",3,23/12/2024 13:42,23/12/2024 13:42
406,Certificate in Financial Accountancy,"English Language & MARG (Accounts, Invetory, Taxation with GST and Payroll).",4,23/12/2024 13:42,23/12/2024 13:42
